START_TIME,END_TIME,CATEGORY,ACTIVITY
4/19/2021 06:02,4/19/2021  06:26,ABLUTIONS,WAKE UP AND WASHUP
4/19/2021 06:30,4/19/2021  07:30,HEALTH and FITNESS,YOGA 
4/19/2021  07:35,4/19/2021  07:56,ABLUTIONS,MORNING BATH
4/19/2021  08:04,4/19/2021  08:26,MEALS,BREAKFAST
4/19/2021 08:32,4/19/2021  08:58,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/19/2021  09:00,4/19/2021  11:05,BUSINESS,WORK AND MEETINGS
4/19/2021  11:07,4/19/2021  11:15,MEALS,COFFEE BREAK
4/19/2021 11:16,4/19/2021  11:30,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/19/2021 11:32,4/19/2021  13:05,BUSINESS,WORK AND MEETINGS
4/19/2021 13:05,4/19/2021  13:33,MEALS,LUNCH
4/19/2021 13:34,4/19/2021  14:00,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/19/2021 14:02,4/19/2021  15:33,BUSINESS,WORK AND MEETINGS
4/19/2021 15:34,4/19/2021  16:00,MEALS,TEA BREAK
4/19/2021 16:01,4/19/2021  18:00,BUSINESS,WORK AND MEETINGS
4/19/2021 18:02,4/19/2021  18:25,HEALTH and FITNESS,EVENING RUN
4/19/2021 18:35,4/19/2021  19:02,ABLUTIONS,EVENING BATH
4/19/2021 19:03,4/19/2021  20:00,BUSINESS,VIRTUAL MEETING
4/19/2021 20:05,4/19/2021  20:35,MEALS,DINNER
4/19/2021 20:45,4/19/2021  22:40,ONLINE INFOTAINMENT,WATCH IPL MATCH
4/20/2021 06:05,4/20/2021 06:25,ABLUTIONS,WAKE UP AND WASHUP
4/20/2021 06:30,4/20/2021 07:29,HEALTH and FITNESS,YOGA 
4/20/2021 07:35,4/20/2021 07:55,ABLUTIONS,MORNING BATH
4/20/2021 08:03,4/20/2021 08:24,MEALS,BREAKFAST
4/20/2021 08:30,4/20/2021 08:55,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/20/2021 09:00,4/20/2021 11:02,BUSINESS,WORK AND MEETINGS
4/20/2021 11:05,4/20/2021 11:20,MEALS,COFFEE BREAK
4/20/2021 11:20,4/20/2021 11:30,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/20/2021 11:30,4/20/2021 13:05,BUSINESS,WORK AND MEETINGS
4/20/2021 13:05,4/20/2021 13:28,MEALS,LUNCH
4/20/2021 13:30,4/20/2021 14:05,BUSINESS,MEETING
4/20/2021 14:05,4/20/2021 15:31,BUSINESS,WORK AND MEETINGS
4/20/2021 15:32,4/20/2021 16:00,MEALS,TEA BREAK
4/20/2021 16:00,4/20/2021 18:30,BUSINESS,WORK AND MEETINGS
4/20/2021 18:33,4/20/2021 19:05,HEALTH and FITNESS,GYM
4/20/2021 19:07,4/20/2021 19:29,ABLUTIONS,EVENING BATH
4/20/2021 19:35,4/20/2021 20:00,MEALS,DINNER
4/20/2021 20:05,4/20/2021 22:30,ONLINE INFOTAINMENT,RELAXED FAMILY TIME
4/20/2021 22:30,4/20/2021 22:45,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/21/2021 06:01,4/21/2021 06:20,ABLUTIONS,WAKE UP AND WASHUP
4/21/2021 06:27,4/21/2021 07:30,HEALTH and FITNESS,YOGA 
4/21/2021 07:35,4/21/2021 07:55,ABLUTIONS,MORNING BATH
4/21/2021 08:05,4/21/2021 08:24,MEALS,BREAKFAST
4/21/2021 08:30,4/21/2021 08:55,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/21/2021 09:00,4/21/2021 11:02,BUSINESS,WORK AND MEETINGS
4/21/2021 11:05,4/21/2021 11:20,MEALS,COFFEE BREAK
4/21/2021 11:20,4/21/2021 11:30,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/21/2021 11:31,4/21/2021 13:05,BUSINESS,WORK AND MEETINGS
4/21/2021 13:05,4/21/2021 13:28,MEALS,LUNCH
4/21/2021 13:29,4/21/2021 14:00,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/21/2021 14:05,4/21/2021 15:31,BUSINESS,WORK AND MEETINGS
4/21/2021 15:34,4/21/2021 16:00,MEALS,TEA BREAK
4/21/2021 16:01,4/21/2021 18:00,BUSINESS,WORK AND MEETINGS
4/21/2021 18:03,4/21/2021 18:40,HEALTH and FITNESS,GYM
4/21/2021 18:45,4/21/2021 19:06,ABLUTIONS,EVENING BATH
4/21/2021 19:15,4/21/2021 19:44,MEALS,DINNER
4/21/2021 19:45,4/21/2021 22:00,ONLINE INFOTAINMENT,WATCH IPL MATCH
4/21/2021 22:00,4/21/2021 22:45,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/22/2021 06:01,4/22/2021  06:22,ABLUTIONS,WAKE UP AND WASHUP
4/22/2021   06:30,4/22/2021  07:30,HEALTH and FITNESS,YOGA 
4/22/2021   07:35,4/22/2021  07:54,ABLUTIONS,MORNING BATH
4/22/2021  08:04,4/22/2021  08:29,MEALS,BREAKFAST
4/22/2021  08:32,4/22/2021  08:58,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/22/2021  09:00,4/22/2021  11:05,BUSINESS,WORK AND MEETINGS
4/22/2021  11:07,4/22/2021  11:15,MEALS,COFFEE BREAK
4/22/2021  11:16,4/22/2021  11:30,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/22/2021  11:32,4/22/2021  13:05,BUSINESS,WORK AND MEETINGS
4/22/2021  13:05,4/22/2021  13:33,MEALS,LUNCH
4/22/2021  13:34,4/22/2021  14:00,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/22/2021  14:02,4/22/2021  15:33,BUSINESS,WORK AND MEETINGS
4/22/2021  15:34,4/22/2021  16:00,MEALS,TEA BREAK
4/22/2021  16:01,4/22/2021  18:00,BUSINESS,WORK AND MEETINGS
4/22/2021  18:02,4/22/2021  18:25,HEALTH and FITNESS,EVENING RUN
4/22/2021  18:35,4/22/2021  22:02,ABLUTIONS,EVENING BATH
4/22/2021  18:03,4/22/2021  20:00,BUSINESS,VIRTUAL MEETING
4/22/2021  20:05,4/22/2021  20:35,MEALS,DINNER
4/22/2021  20:40,4/22/2021  22:45,ONLINE INFOTAINMENT,MUSIC CONCERT
4/23/2021 06:08,4/23/2021 06:28,ABLUTIONS,WAKE UP AND WASHUP
4/23/2021 06:31,4/23/2021 07:30,HEALTH and FITNESS,YOGA 
4/23/2021 07:35,4/23/2021 07:59,ABLUTIONS,MORNING BATH
4/23/2021 08:11,4/23/2021 08:34,MEALS,BREAKFAST
4/23/2021 08:34,4/23/2021 08:55,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/23/2021 09:00,4/23/2021 11:01,BUSINESS,WORK AND MEETINGS
4/23/2021 11:03,4/23/2021 11:20,MEALS,COFFEE BREAK
4/23/2021 11:20,4/23/2021 11:30,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/23/2021 11:31,4/23/2021 13:35,BUSINESS,WORK AND MEETINGS
4/23/2021 13:40,4/23/2021 14:00,MEALS,LUNCH
4/23/2021 14:05,4/23/2021 15:31,BUSINESS,WORK AND MEETINGS
4/23/2021 15:34,4/23/2021 16:00,MEALS,TEA BREAK
4/23/2021 16:01,4/23/2021 18:05,BUSINESS,WORK AND MEETINGS
4/23/2021 18:10,4/23/2021 18:40,HEALTH and FITNESS,EVENING RUN
4/23/2021 18:45,4/23/2021 19:06,ABLUTIONS,EVENING BATH
4/23/2021 19:15,4/23/2021 19:54,MEALS,DINNER
4/23/2021 20:00,4/23/2021 22:45,ONLINE INFOTAINMENT,WATCH IPL MATCH
4/24/2021  06:01,4/24/2021  06:24,ABLUTIONS,WAKE UP AND WASHUP
4/24/2021   06:30,4/24/2021  08:00,HEALTH and FITNESS,YOGA 
4/24/2021   08:00,4/24/2021  08:34,ABLUTIONS,MORNING BATH
4/24/2021   08:45,4/24/2021  09:13,MEALS,BREAKFAST
4/24/2021  09:20,4/24/2021  09:50,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/24/2021  10:00,4/24/2021  11:20,SHOPPING,GROCERIES AND PRODUCE
4/24/2021  11:25,4/24/2021  12:57,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/24/2021   13:05,4/24/2021  13:33,MEALS,LUNCH
4/24/2021  13:34,4/24/2021  14:34,RELAXATION,NAP
4/24/2021  14:45,4/24/2021  15:11,MEALS,TEA BREAK
4/24/2021   15:14,4/24/2021  17:50,ONLINE INFOTAINMENT,MOVIE WITH FAMILY
4/24/2021  18:03,4/24/2021  18:50,HEALTH and FITNESS,EVENING RUN AND GYM
4/24/2021  18:58,4/24/2021  19:20,ABLUTIONS,EVENING BATH
4/24/2021   19:28,4/24/2021  19:51,MEALS,DINNER
4/24/2021  20:02,4/24/2021  22:35,RELAXATION,BOARDGAME WITH FAMILY
4/24/2021  22:40,4/24/2021  23:05,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
